Adder,PNSR,MSE,SSIM
add16se_1Y7,25.65,177.22,0.94
add16se_20J,32.55,36.12,0.99
add16se_259,21.16,498.19,0.86
add16se_25S,10.06,6411.58,0.39
add16se_26Q,39.08,8.04,1.00
add16se_28H,19.59,714.25,0.81
add16se_294,6.74,13782.45,0.29
add16se_29A,18.83,851.73,0.80
add16se_2AS,10.39,5938.84,0.35
add16se_2BY,33.42,29.58,0.99
add16se_2DN,41.30,4.82,1.00
add16se_2E1,9.26,7704.93,0.34
add16se_2GE,10.68,5557.25,0.43
add16se_2H0,38.16,9.94,1.00
add16se_2JB,13.04,3230.41,0.57
add16se_2JY,29.48,73.23,0.97
add16se_2KV,30.35,60.02,0.98
add16se_2LJ,35.18,19.73,0.99
